Date,Contract,Units,Volume,LowPrice,HighPrice,AvgPrice,LastPrice
8/15/2000,Dem,785,367.623,0.46,0.484,0.468,0.46
8/15/2000,Reform,802,3.228,0.004,0.005,0.004,0.004
8/15/2000,Rep,642,344.407,0.516,0.55,0.536,0.55
8/16/2000,Dem,628,283.755,0.444,0.465,0.452,0.445
8/16/2000,Reform,499,1.996,0.004,0.004,0.004,0.004
8/16/2000,Rep,663,365.272,0.533,0.558,0.551,0.558
8/17/2000,Dem,"1,061",468.95,0.43,0.456,0.442,0.445
8/17/2000,Reform,864,3.458,0.004,0.005,0.004,0.004
8/17/2000,Rep,534,300.013,0.551,0.573,0.562,0.573
8/18/2000,Dem,729,318.135,0.421,0.447,0.436,0.435
8/18/2000,Reform,928,3.992,0.004,0.005,0.004,0.004
8/18/2000,Rep,"1,304",738.755,0.555,0.585,0.567,0.56
8/19/2000,Dem,329,145.265,0.422,0.45,0.442,0.44
8/19/2000,Reform,222,0.888,0.004,0.005,0.004,0.004
8/19/2000,Rep,951,549.179,0.561,0.599,0.577,0.565
8/20/2000,Dem,289,130.098,0.428,0.46,0.45,0.444
8/20/2000,Reform,937,3.787,0.004,0.005,0.004,0.004
8/20/2000,Rep,615,353.813,0.54,0.599,0.575,0.557
8/21/2000,Dem,757,350.785,0.446,0.47,0.463,0.469
8/21/2000,Reform,876,3.504,0.004,0.004,0.004,0.004
8/21/2000,Rep,781,422.683,0.531,0.563,0.541,0.537
8/22/2000,Dem,"1,178",560.299,0.467,0.48,0.476,0.475
8/22/2000,Reform,646,2.937,0.004,0.005,0.005,0.004
8/22/2000,Rep,139,73.358,0.52,0.537,0.528,0.52
8/23/2000,Dem,162,76.51,0.451,0.479,0.472,0.472
8/23/2000,Reform,514,2.156,0.004,0.005,0.004,0.005
8/23/2000,Rep,720,383.884,0.523,0.546,0.533,0.525
8/24/2000,Dem,57,26.895,0.465,0.474,0.472,0.472
8/24/2000,Reform,128,0.639,0.004,0.006,0.005,0.005
8/24/2000,Rep,105,55.325,0.525,0.528,0.527,0.525
8/25/2000,Dem,114,53.838,0.47,0.476,0.472,0.47
8/25/2000,Reform,402,2.011,0.005,0.006,0.005,0.005
8/25/2000,Rep,157,82.379,0.523,0.526,0.525,0.523
8/26/2000,Dem,593,287.865,0.474,0.495,0.485,0.487
8/26/2000,Reform,554,2.766,0.004,0.006,0.005,0.004
8/26/2000,Rep,236,123.182,0.518,0.523,0.522,0.518
8/27/2000,Dem,145,68.674,0.471,0.48,0.474,0.473
8/27/2000,Reform,419,1.676,0.004,0.004,0.004,0.004
8/27/2000,Rep,226,117.508,0.517,0.531,0.52,0.521
8/28/2000,Dem,241,115.088,0.47,0.481,0.478,0.48
8/28/2000,Reform,196,0.817,0.004,0.006,0.004,0.006
8/28/2000,Rep,810,418.549,0.501,0.532,0.517,0.511
8/29/2000,Dem,291,141.464,0.484,0.492,0.486,0.487
8/29/2000,Reform,469,2.697,0.004,0.007,0.006,0.006
8/29/2000,Rep,332,169.526,0.506,0.521,0.511,0.507
8/30/2000,Dem,85,41.764,0.487,0.494,0.491,0.487
8/30/2000,Reform,137,0.657,0.004,0.006,0.005,0.005
8/30/2000,Rep,41,20.834,0.508,0.514,0.508,0.508
8/31/2000,Dem,283,140.651,0.489,0.509,0.497,0.501
8/31/2000,Reform,359,1.655,0.004,0.006,0.005,0.004
8/31/2000,Rep,737,370.691,0.5,0.508,0.503,0.501
9/1/2000,Dem,672,335.14,0.493,0.513,0.499,0.513
9/1/2000,Reform,439,1.938,0.004,0.007,0.004,0.004
9/1/2000,Rep,458,231.788,0.49,0.519,0.506,0.517
9/2/2000,Dem,201,102.51,0.501,0.515,0.51,0.501
9/2/2000,Reform,74,0.296,0.004,0.004,0.004,0.004
